OrderID,CustomerID,StoreID,OrderDate,OrderDateTime,OrderStatus,SalesChannel,PaymentMethod,ShippingDate,PromoCode,Notes,SubTotal,Tax,ShippingCost,ItemsCount,OrderLevelDiscount,OrderTotal
3588,689,1,2025-05-07,2025-05-07 17:20:00,Completed,In-Store,E-Wallet,2025-05-07,BUNDLE5,,11.17,0.78,0.0,1,0.0,11.95
3589,570,1,2025-03-18,2025-03-18 18:50:00,Pending,Online,Debit Card,,,,63.02,4.41,3.39,3,0.0,70.82
3590,412,3,2025-02-22,2025-02-22 18:05:00,Cancelled,In-Store,Debit Card,,,Fragile,7.9,0.55,0.0,1,0.0,8.45
3591,850,8,2024-10-17,2024-10-17 20:25:00,Pending,Online,Cash,,,,52.5,3.68,2.77,2,0.0,58.95
3592,1027,8,2024-05-28,2024-05-28 11:30:00,Completed,Online,Credit Card,2024-05-30,,Fragile,51.42,3.6,3.36,1,0.0,58.38
3593,599,9,2025-07-09,2025-07-09 15:20:00,Completed,Online,Debit Card,2025-07-12,BUNDLE5,,53.67,3.76,4.51,4,1.07,60.87
3594,152,6,2024-12-22,2024-12-22 19:00:00,Completed,Online,E-Wallet,2024-12-29,VIP20,Gift wrap,99.26,6.95,3.21,3,1.99,107.43
3595,820,2,2024-05-02,2024-05-02 17:15:00,Completed,Online,E-Wallet,2024-05-07,NEW10,,45.31,3.17,5.1,3,0.91,52.67
3596,275,7,2024-02-12,2024-02-12 19:10:00,Completed,Online,Cash,2024-02-16,,,9.81,0.69,2.87,1,0.0,13.37
3597,269,10,2024-07-06,2024-07-06 18:00:00,Completed,In-Store,Bank Transfer,2024-07-06,,Gift wrap,37.73,2.64,0.0,2,0.0,40.37
3598,525,6,2024-06-27,2024-06-27 13:55:00,Completed,In-Store,E-Wallet,2024-06-27,,Fragile,27.7,1.94,0.0,2,0.0,29.64
3599,1111,9,2024-09-26,2024-09-26 11:15:00,Pending,Online,Cash,,,,59.37,4.16,2.94,3,0.0,66.47
3600,186,6,2024-02-04,2024-02-04 18:45:00,Completed,In-Store,E-Wallet,2024-02-04,BUNDLE5,,21.58,1.51,0.0,2,0.0,23.09
3601,1156,6,2024-09-08,2024-09-08 12:15:00,Pending,In-Store,Debit Card,,VIP20,,23.57,1.65,0.0,2,0.0,25.22
3602,584,2,2024-02-26,2024-02-26 20:45:00,Completed,Online,E-Wallet,2024-03-03,,,11.64,0.81,3.99,1,0.0,16.44
3603,471,7,2024-11-06,2024-11-06 18:50:00,Completed,Online,Bank Transfer,2024-11-06,VIP20,,13.57,0.95,2.19,2,0.0,16.71
3604,60,4,2024-02-07,2024-02-07 10:10:00,Pending,In-Store,Bank Transfer,,BUNDLE5,,24.32,1.7,0.0,2,0.0,26.02
3605,24,10,2024-04-07,2024-04-07 20:10:00,Completed,Online,E-Wallet,2024-04-13,NEW10,Fragile,39.62,2.77,3.82,2,0.0,46.21
3606,409,8,2024-07-12,2024-07-12 12:00:00,Completed,In-Store,Bank Transfer,2024-07-12,NEW10,Fragile,32.17,2.25,0.0,2,0.0,34.42
3607,2,8,2024-04-12,2024-04-12 15:35:00,Completed,Online,Credit Card,2024-04-17,VIP20,Gift wrap,37.82,2.65,3.6,2,0.0,44.07
3608,397,10,2024-09-10,2024-09-10 16:20:00,Completed,Online,Cash,2024-09-14,VIP20,Fragile,24.66,1.73,4.16,2,0.0,30.55
3609,156,7,2024-03-15,2024-03-15 13:15:00,Completed,Online,Bank Transfer,2024-03-20,SUMMER15,Fragile,43.83,3.07,3.54,1,0.0,50.44
3610,1091,8,2024-01-23,2024-01-23 19:50:00,Cancelled,Online,Credit Card,,BUNDLE5,,96.36,6.75,2.19,4,1.93,103.37
3611,120,3,2025-01-13,2025-01-13 16:05:00,Completed,In-Store,Debit Card,2025-01-13,BUNDLE5,,36.37,2.55,0.0,1,0.0,38.92
3612,262,6,2025-07-04,2025-07-04 16:30:00,Completed,Online,Bank Transfer,2025-07-04,,,149.18,10.44,3.1,4,0.0,162.72
3613,106,5,2024-03-10,2024-03-10 17:40:00,Completed,Online,Cash,2024-03-16,,Gift wrap,21.02,1.47,2.06,2,0.0,24.55
3614,27,1,2024-10-10,2024-10-10 17:35:00,Completed,In-Store,Credit Card,2024-10-10,,Fragile,75.25,5.27,0.0,3,0.0,80.52
3615,656,5,2024-10-03,2024-10-03 13:40:00,Completed,In-Store,Debit Card,2024-10-03,,Gift wrap,46.25,3.24,0.0,2,0.0,49.49
3616,500,7,2024-09-08,2024-09-08 18:20:00,Cancelled,Online,Bank Transfer,,BUNDLE5,,18.87,1.32,4.15,1,0.0,24.34
3617,220,10,2025-02-19,2025-02-19 14:15:00,Completed,In-Store,E-Wallet,2025-02-19,VIP20,,56.41,3.95,0.0,4,1.13,59.23
3618,224,4,2025-01-22,2025-01-22 17:10:00,Pending,Online,Debit Card,,,,59.09,4.14,3.95,2,0.0,67.18
3619,213,2,2024-02-12,2024-02-12 15:05:00,Pending,Online,Credit Card,,,Gift wrap,42.05,2.94,5.08,3,0.0,50.07
3620,30,10,2025-04-01,2025-04-01 17:55:00,Completed,In-Store,Cash,2025-04-01,,,23.44,1.64,0.0,2,0.0,25.08
3621,75,4,2024-07-26,2024-07-26 14:35:00,Cancelled,Online,Bank Transfer,,,Fragile,146.38,10.25,3.84,3,0.0,160.47
3622,882,1,2025-05-07,2025-05-07 20:30:00,Pending,Online,Debit Card,,,,7.13,0.5,3.97,1,0.0,11.6
3623,35,4,2025-06-26,2025-06-26 19:20:00,Completed,In-Store,E-Wallet,2025-06-26,BUNDLE5,,15.08,1.06,0.0,1,0.0,16.14
3624,595,4,2024-02-10,2024-02-10 17:20:00,Completed,Online,Debit Card,2024-02-16,NEW10,,50.14,3.51,3.66,3,1.0,56.31
3625,419,10,2024-07-31,2024-07-31 18:45:00,Pending,In-Store,Credit Card,,NEW10,Fragile,53.6,3.75,0.0,1,0.0,57.35
3626,1045,3,2024-04-27,2024-04-27 18:15:00,Pending,Online,Cash,,BUNDLE5,,26.87,1.88,2.77,2,0.0,31.52
3627,456,4,2024-04-28,2024-04-28 17:05:00,Returned,Online,E-Wallet,,,Gift wrap,29.48,2.06,3.77,1,0.0,35.31
3628,832,8,2025-05-18,2025-05-18 16:35:00,Completed,Online,Bank Transfer,2025-05-20,,,32.34,2.26,3.18,1,0.0,37.78
3629,320,9,2025-06-17,2025-06-17 19:00:00,Pending,In-Store,Cash,,,Fragile,63.19,4.42,0.0,4,0.0,67.61
3630,1032,10,2025-06-08,2025-06-08 14:25:00,Cancelled,Online,Credit Card,,VIP20,,8.17,0.57,4.66,1,0.0,13.4
3631,1086,8,2024-08-20,2024-08-20 15:35:00,Completed,In-Store,Debit Card,2024-08-20,SUMMER15,,51.78,3.62,0.0,4,1.04,54.36
3632,775,6,2024-09-21,2024-09-21 16:10:00,Completed,In-Store,Credit Card,2024-09-21,NEW10,Fragile,59.61,4.17,0.0,3,1.19,62.59
3633,977,5,2024-11-01,2024-11-01 14:30:00,Completed,Online,Cash,2024-11-06,NEW10,Fragile,49.9,3.49,4.28,1,0.0,57.67
3634,728,8,2024-08-25,2024-08-25 15:10:00,Cancelled,In-Store,Cash,,,,14.53,1.02,0.0,1,0.0,15.55
3635,286,7,2024-02-25,2024-02-25 17:25:00,Completed,In-Store,Bank Transfer,2024-02-25,,,7.3,0.51,0.0,1,0.0,7.81
3636,214,2,2024-03-02,2024-03-02 19:25:00,Returned,Online,E-Wallet,,NEW10,,31.63,2.21,3.94,3,0.63,37.15
3637,153,6,2025-04-06,2025-04-06 17:25:00,Completed,Online,E-Wallet,2025-04-13,,Gift wrap,45.39,3.18,3.4,3,0.0,51.97
3638,1090,1,2025-04-27,2025-04-27 11:30:00,Pending,Online,Bank Transfer,,,,18.0,1.26,3.21,1,0.0,22.47
3639,663,1,2024-05-01,2024-05-01 13:30:00,Completed,Online,Bank Transfer,2024-05-07,,,42.77,2.99,2.7,2,0.0,48.46
3640,705,7,2024-10-15,2024-10-15 20:20:00,Completed,Online,Debit Card,2024-10-17,NEW10,Gift wrap,23.74,1.66,3.57,1,0.0,28.97
3641,284,5,2024-10-16,2024-10-16 17:25:00,Cancelled,Online,Cash,,SUMMER15,Gift wrap,113.43,7.94,3.79,4,2.27,122.89
3642,274,7,2024-03-09,2024-03-09 18:40:00,Completed,Online,Debit Card,2024-03-11,SUMMER15,,10.19,0.71,4.0,1,0.0,14.9
3643,226,9,2024-04-12,2024-04-12 16:30:00,Cancelled,Online,Debit Card,,BUNDLE5,Fragile,19.66,1.38,4.21,1,0.0,25.25
3644,986,7,2024-09-06,2024-09-06 20:20:00,Cancelled,Online,Debit Card,,,,14.04,0.98,3.15,1,0.0,18.17
3645,572,8,2024-06-29,2024-06-29 18:25:00,Completed,Online,Debit Card,2024-07-05,BUNDLE5,,9.32,0.65,3.77,1,0.0,13.74
3646,252,10,2025-01-31,2025-01-31 17:15:00,Completed,In-Store,Cash,2025-01-31,,,37.57,2.63,0.0,2,0.0,40.2
3647,457,3,2024-01-28,2024-01-28 20:55:00,Completed,In-Store,E-Wallet,2024-01-28,NEW10,Gift wrap,18.54,1.3,0.0,2,0.0,19.84
3648,514,2,2025-01-12,2025-01-12 13:45:00,Pending,Online,Cash,,SUMMER15,,30.46,2.13,3.76,2,0.0,36.35
3649,337,6,2025-08-21,2025-08-21 19:45:00,Completed,Online,Debit Card,2025-08-22,SUMMER15,,24.13,1.69,4.28,1,0.0,30.1
3650,711,7,2025-02-05,2025-02-05 11:15:00,Completed,Online,Debit Card,2025-02-07,VIP20,Fragile,49.29,3.45,1.46,4,0.99,53.21
3651,621,10,2024-02-28,2024-02-28 13:50:00,Completed,In-Store,Bank Transfer,2024-02-28,,,88.36,6.19,0.0,2,0.0,94.55
3652,908,2,2025-03-31,2025-03-31 20:25:00,Completed,In-Store,Bank Transfer,2025-03-31,,Fragile,9.76,0.68,0.0,1,0.0,10.44
3653,399,3,2024-03-11,2024-03-11 18:05:00,Cancelled,In-Store,Credit Card,,BUNDLE5,Fragile,12.26,0.86,0.0,1,0.0,13.12
3654,836,9,2024-07-12,2024-07-12 13:40:00,Completed,Online,Debit Card,2024-07-16,VIP20,Fragile,7.9,0.55,2.98,1,0.0,11.43
3655,1073,9,2025-07-23,2025-07-23 11:50:00,Completed,Online,Debit Card,2025-07-28,BUNDLE5,Fragile,44.27,3.1,4.18,3,0.89,50.66
3656,593,7,2024-09-25,2024-09-25 13:45:00,Completed,In-Store,Debit Card,2024-09-25,VIP20,,20.48,1.43,0.0,1,0.0,21.91
3657,500,1,2024-01-17,2024-01-17 11:15:00,Pending,Online,Credit Card,,VIP20,,70.01,4.9,4.35,5,1.4,77.86
3658,1053,1,2024-09-28,2024-09-28 18:10:00,Completed,Online,E-Wallet,2024-10-02,BUNDLE5,,62.19,4.35,2.97,2,0.0,69.51
3659,1024,5,2025-07-09,2025-07-09 17:20:00,Completed,In-Store,E-Wallet,2025-07-09,,,72.02,5.04,0.0,4,0.0,77.06
3660,456,1,2025-07-31,2025-07-31 14:50:00,Completed,Online,Credit Card,2025-08-06,VIP20,,9.14,0.64,4.37,1,0.0,14.15
3661,367,3,2024-06-22,2024-06-22 18:30:00,Completed,Online,Cash,2024-06-26,,Gift wrap,21.06,1.47,4.45,1,0.0,26.98
3662,679,8,2025-07-20,2025-07-20 18:40:00,Completed,In-Store,E-Wallet,2025-07-20,NEW10,,11.51,0.81,0.0,1,0.0,12.32
3663,156,2,2025-06-18,2025-06-18 19:25:00,Completed,Online,Bank Transfer,2025-06-24,,,126.99,8.89,2.87,3,0.0,138.75
3664,90,1,2024-08-28,2024-08-28 15:30:00,Completed,Online,Credit Card,2024-09-01,VIP20,,62.86,4.4,3.22,2,0.0,70.48
3665,906,5,2025-04-19,2025-04-19 10:05:00,Completed,Online,Bank Transfer,2025-04-20,,Fragile,116.27,8.14,3.39,3,0.0,127.8
3666,640,5,2024-07-16,2024-07-16 19:10:00,Completed,Online,E-Wallet,2024-07-23,BUNDLE5,,9.24,0.65,4.24,1,0.0,14.13
3667,453,3,2025-08-14,2025-08-14 14:35:00,Pending,Online,Credit Card,,,Gift wrap,16.54,1.16,4.06,1,0.0,21.76
3668,1075,10,2024-02-23,2024-02-23 12:15:00,Completed,Online,Cash,2024-02-23,VIP20,,37.24,2.61,3.52,4,0.74,42.63
3669,32,8,2025-04-23,2025-04-23 19:50:00,Cancelled,In-Store,Cash,,,,20.18,1.41,0.0,1,0.0,21.59
3670,53,6,2025-07-07,2025-07-07 13:50:00,Completed,In-Store,E-Wallet,2025-07-07,VIP20,Fragile,68.02,4.76,0.0,2,0.0,72.78
3671,696,4,2024-12-31,2024-12-31 11:40:00,Pending,In-Store,Credit Card,,VIP20,,70.03,4.9,0.0,3,1.4,73.53
3672,649,6,2024-03-26,2024-03-26 14:45:00,Completed,In-Store,Debit Card,2024-03-26,BUNDLE5,,28.28,1.98,0.0,2,0.0,30.26
3673,1186,3,2024-09-15,2024-09-15 18:20:00,Completed,In-Store,Debit Card,2024-09-15,BUNDLE5,,49.48,3.46,0.0,1,0.0,52.94
3674,371,1,2025-06-21,2025-06-21 11:50:00,Completed,In-Store,Cash,2025-06-21,NEW10,,32.72,2.29,0.0,1,0.0,35.01
3675,1122,1,2025-01-21,2025-01-21 19:30:00,Completed,In-Store,E-Wallet,2025-01-21,BUNDLE5,Fragile,67.72,4.74,0.0,3,1.35,71.11
3676,671,1,2025-08-10,2025-08-10 12:00:00,Completed,Online,Debit Card,2025-08-14,,,76.47,5.35,3.23,3,0.0,85.05
3677,605,4,2024-08-31,2024-08-31 11:45:00,Completed,In-Store,Debit Card,2024-08-31,SUMMER15,,36.46,2.55,0.0,1,0.0,39.01
3678,997,5,2024-10-05,2024-10-05 18:10:00,Completed,In-Store,Debit Card,2024-10-05,BUNDLE5,,13.36,0.94,0.0,1,0.0,14.3
3679,606,1,2025-01-20,2025-01-20 16:20:00,Cancelled,In-Store,Debit Card,,VIP20,Fragile,3.04,0.21,0.0,1,0.0,3.25
3680,1197,10,2024-04-04,2024-04-04 15:15:00,Completed,In-Store,Bank Transfer,2024-04-04,,Gift wrap,49.87,3.49,0.0,2,0.0,53.36
3681,392,4,2024-10-31,2024-10-31 18:00:00,Pending,Online,Cash,,SUMMER15,,8.66,0.61,5.99,1,0.0,15.26
3682,263,10,2024-12-01,2024-12-01 15:15:00,Completed,Online,Credit Card,2024-12-06,,Gift wrap,14.6,1.02,3.61,1,0.0,19.23
3683,1015,2,2024-06-28,2024-06-28 20:40:00,Completed,Online,Cash,2024-06-29,BUNDLE5,,64.9,4.54,2.63,2,0.0,72.07
3684,1000,3,2024-05-14,2024-05-14 20:35:00,Completed,In-Store,E-Wallet,2024-05-14,SUMMER15,Gift wrap,6.1,0.43,0.0,1,0.0,6.53
3685,475,10,2025-02-03,2025-02-03 14:45:00,Completed,Online,Credit Card,2025-02-10,SUMMER15,,19.92,1.39,2.94,1,0.0,24.25
3686,525,6,2025-05-05,2025-05-05 10:55:00,Completed,In-Store,Bank Transfer,2025-05-05,,Gift wrap,36.08,2.53,0.0,1,0.0,38.61
3687,812,6,2025-05-19,2025-05-19 20:40:00,Completed,Online,Debit Card,2025-05-26,SUMMER15,Gift wrap,8.57,0.6,3.67,1,0.0,12.84
3688,773,1,2024-04-12,2024-04-12 17:30:00,Completed,Online,E-Wallet,2024-04-12,,Gift wrap,25.46,1.78,3.31,1,0.0,30.55
3689,540,2,2024-08-03,2024-08-03 19:35:00,Completed,Online,Bank Transfer,2024-08-03,NEW10,Fragile,24.41,1.71,1.91,1,0.0,28.03
3690,1027,3,2024-11-14,2024-11-14 17:15:00,Completed,In-Store,Bank Transfer,2024-11-14,,,55.74,3.9,0.0,2,0.0,59.64
3691,627,4,2024-07-10,2024-07-10 17:00:00,Completed,In-Store,Credit Card,2024-07-10,VIP20,,127.37,8.92,0.0,5,2.55,133.74
3692,673,8,2024-01-14,2024-01-14 12:45:00,Pending,Online,E-Wallet,,BUNDLE5,Gift wrap,48.56,3.4,3.7,1,0.0,55.66
3693,445,2,2024-11-30,2024-11-30 20:00:00,Completed,Online,Bank Transfer,2024-12-01,VIP20,Gift wrap,20.74,1.45,4.32,1,0.0,26.51
3694,1134,2,2024-04-03,2024-04-03 12:50:00,Completed,Online,E-Wallet,2024-04-07,NEW10,,9.46,0.66,5.25,1,0.0,15.37
3695,472,10,2025-08-01,2025-08-01 19:40:00,Completed,Online,Bank Transfer,2025-08-06,NEW10,,61.7,4.32,1.37,2,0.0,67.39
3696,814,1,2024-11-14,2024-11-14 15:55:00,Completed,Online,Cash,2024-11-17,NEW10,,48.98,3.43,5.58,2,0.0,57.99
3697,485,5,2024-04-14,2024-04-14 19:35:00,Cancelled,Online,Credit Card,,BUNDLE5,,9.77,0.68,5.06,1,0.0,15.51
3698,624,8,2024-02-27,2024-02-27 16:55:00,Pending,Online,E-Wallet,,,Fragile,12.09,0.85,3.42,1,0.0,16.36
3699,565,10,2025-06-05,2025-06-05 19:00:00,Pending,Online,E-Wallet,,BUNDLE5,,58.88,4.12,3.29,2,0.0,66.29
3700,798,6,2025-06-04,2025-06-04 17:25:00,Completed,In-Store,Debit Card,2025-06-04,BUNDLE5,Fragile,24.82,1.74,0.0,2,0.0,26.56
3701,411,5,2025-02-20,2025-02-20 11:00:00,Completed,Online,E-Wallet,2025-02-21,,,88.98,6.23,2.33,3,0.0,97.54
3702,601,2,2025-05-25,2025-05-25 19:00:00,Cancelled,Online,Cash,,BUNDLE5,Gift wrap,15.08,1.06,2.05,2,0.0,18.19
3703,971,3,2024-10-10,2024-10-10 19:00:00,Returned,In-Store,Bank Transfer,,,,40.35,2.82,0.0,2,0.0,43.17
3704,140,7,2025-07-10,2025-07-10 16:35:00,Pending,Online,Credit Card,,SUMMER15,,7.82,0.55,1.72,1,0.0,10.09
3705,841,4,2024-12-01,2024-12-01 16:15:00,Completed,Online,Credit Card,2024-12-05,BUNDLE5,Gift wrap,16.14,1.13,1.9,1,0.0,19.17
3706,860,8,2024-07-03,2024-07-03 16:40:00,Pending,Online,Debit Card,,SUMMER15,Fragile,21.54,1.51,2.27,1,0.0,25.32
3707,137,9,2024-09-02,2024-09-02 18:40:00,Pending,In-Store,Bank Transfer,,,,74.18,5.19,0.0,3,0.0,79.37
3708,1152,10,2024-04-12,2024-04-12 12:35:00,Completed,Online,Cash,2024-04-14,SUMMER15,,23.5,1.65,5.38,2,0.0,30.53
3709,132,10,2024-01-08,2024-01-08 20:45:00,Pending,Online,Bank Transfer,,,Gift wrap,45.59,3.19,4.41,3,0.0,53.19
3710,686,6,2024-01-01,2024-01-01 18:40:00,Completed,In-Store,Credit Card,2024-01-01,,Gift wrap,19.74,1.38,0.0,1,0.0,21.12
3711,417,2,2024-12-21,2024-12-21 13:30:00,Completed,Online,E-Wallet,2024-12-28,,Fragile,57.19,4.0,2.66,4,0.0,63.85
3712,524,5,2024-12-04,2024-12-04 19:30:00,Completed,In-Store,Credit Card,2024-12-04,SUMMER15,Gift wrap,37.14,2.6,0.0,1,0.0,39.74
3713,557,1,2024-02-26,2024-02-26 10:00:00,Returned,Online,Credit Card,,NEW10,,21.05,1.47,4.1,2,0.0,26.62
3714,640,1,2024-08-30,2024-08-30 11:30:00,Completed,In-Store,E-Wallet,2024-08-30,NEW10,,6.39,0.45,0.0,1,0.0,6.84
3715,331,3,2024-02-02,2024-02-02 15:55:00,Cancelled,Online,Cash,,NEW10,Fragile,30.12,2.11,1.2,2,0.0,33.43
3716,548,5,2024-08-12,2024-08-12 20:55:00,Pending,In-Store,Bank Transfer,,,,20.58,1.44,0.0,1,0.0,22.02
3717,236,10,2024-04-29,2024-04-29 12:25:00,Completed,Online,E-Wallet,2024-05-05,,Gift wrap,37.36,2.62,2.82,2,0.0,42.8
3718,751,9,2024-02-12,2024-02-12 20:35:00,Pending,Online,Bank Transfer,,,Fragile,57.98,4.06,4.47,3,0.0,66.51
3719,661,4,2024-09-01,2024-09-01 20:00:00,Pending,In-Store,Debit Card,,SUMMER15,,56.5,3.96,0.0,2,0.0,60.46
3720,1015,8,2025-04-16,2025-04-16 11:30:00,Completed,Online,E-Wallet,2025-04-16,,,62.91,4.4,3.26,3,0.0,70.57
3721,42,5,2025-03-12,2025-03-12 16:15:00,Completed,In-Store,Cash,2025-03-12,VIP20,,3.02,0.21,0.0,1,0.0,3.23
3722,412,2,2025-05-27,2025-05-27 10:05:00,Completed,Online,E-Wallet,2025-06-03,SUMMER15,,95.17,6.66,4.91,5,1.9,104.84
3723,897,2,2024-10-26,2024-10-26 16:00:00,Pending,In-Store,Bank Transfer,,,Fragile,14.04,0.98,0.0,1,0.0,15.02
3724,437,6,2025-01-24,2025-01-24 12:30:00,Completed,In-Store,Cash,2025-01-24,NEW10,Fragile,45.34,3.17,0.0,2,0.0,48.51
3725,49,5,2024-10-05,2024-10-05 12:55:00,Completed,Online,Credit Card,2024-10-12,,Fragile,17.6,1.23,2.58,2,0.0,21.41
3726,344,8,2025-06-02,2025-06-02 16:10:00,Completed,In-Store,Cash,2025-06-02,NEW10,,42.92,3.0,0.0,2,0.0,45.92
3727,1177,2,2025-05-21,2025-05-21 15:15:00,Completed,Online,E-Wallet,2025-05-25,VIP20,,24.22,1.7,3.47,1,0.0,29.39
3728,580,7,2024-11-22,2024-11-22 15:00:00,Returned,In-Store,Bank Transfer,,NEW10,,74.65,5.23,0.0,3,1.49,78.39
3729,44,7,2025-04-07,2025-04-07 18:30:00,Completed,Online,Cash,2025-04-07,,,31.19,2.18,5.91,2,0.0,39.28
3730,487,5,2024-12-11,2024-12-11 15:05:00,Completed,In-Store,E-Wallet,2024-12-11,NEW10,,60.77,4.25,0.0,2,0.0,65.02
3731,114,7,2024-12-23,2024-12-23 19:10:00,Completed,Online,Cash,2024-12-27,,,17.33,1.21,1.6,2,0.0,20.14
3732,367,5,2024-03-01,2024-03-01 15:55:00,Completed,In-Store,Credit Card,2024-03-01,,Fragile,88.98,6.23,0.0,3,0.0,95.21
3733,454,6,2024-08-25,2024-08-25 20:20:00,Completed,Online,Bank Transfer,2024-08-31,,Fragile,61.14,4.28,5.11,3,0.0,70.53
3734,749,9,2024-05-27,2024-05-27 17:00:00,Pending,Online,Bank Transfer,,SUMMER15,Fragile,46.95,3.29,3.64,1,0.0,53.88
3735,458,7,2025-06-16,2025-06-16 13:05:00,Cancelled,Online,Bank Transfer,,SUMMER15,Gift wrap,11.22,0.79,4.53,1,0.0,16.54
3736,274,7,2024-06-16,2024-06-16 15:25:00,Completed,Online,E-Wallet,2024-06-16,,Gift wrap,108.89,7.62,3.5,3,0.0,120.01
3737,18,6,2025-06-22,2025-06-22 18:35:00,Pending,Online,Cash,,BUNDLE5,Fragile,54.45,3.81,4.52,1,0.0,62.78
3738,593,2,2024-11-24,2024-11-24 17:20:00,Completed,Online,Bank Transfer,2024-11-30,,,26.3,1.84,3.7,1,0.0,31.84
3739,1150,7,2024-01-19,2024-01-19 20:25:00,Completed,In-Store,Debit Card,2024-01-19,SUMMER15,Fragile,131.03,9.17,0.0,5,2.62,137.58
3740,384,6,2025-01-27,2025-01-27 10:30:00,Completed,Online,Credit Card,2025-02-03,,,85.25,5.97,4.24,2,0.0,95.46
3741,744,2,2024-02-02,2024-02-02 19:35:00,Pending,Online,Bank Transfer,,BUNDLE5,Gift wrap,27.67,1.94,3.54,2,0.0,33.15
3742,931,4,2025-08-01,2025-08-01 13:10:00,Completed,In-Store,Cash,2025-08-01,BUNDLE5,,58.45,4.09,0.0,2,0.0,62.54
3743,1009,7,2025-08-17,2025-08-17 18:45:00,Completed,Online,Cash,2025-08-23,,,52.53,3.68,2.96,1,0.0,59.17
3744,772,2,2025-04-05,2025-04-05 15:50:00,Completed,In-Store,E-Wallet,2025-04-05,,Gift wrap,37.37,2.62,0.0,3,0.0,39.99
3745,262,5,2024-01-30,2024-01-30 14:10:00,Pending,In-Store,Credit Card,,,,17.81,1.25,0.0,2,0.0,19.06
3746,220,5,2024-03-25,2024-03-25 11:00:00,Completed,Online,Bank Transfer,2024-04-01,,,42.92,3.0,2.88,2,0.0,48.8
3747,90,9,2024-02-04,2024-02-04 17:20:00,Completed,In-Store,Cash,2024-02-04,NEW10,Fragile,60.86,4.26,0.0,5,1.22,63.9
3748,1135,2,2024-03-02,2024-03-02 18:20:00,Returned,In-Store,Bank Transfer,,,Fragile,77.2,5.4,0.0,3,0.0,82.6
3749,512,1,2024-08-09,2024-08-09 18:45:00,Cancelled,Online,Credit Card,,BUNDLE5,,60.57,4.24,5.03,2,0.0,69.84
3750,25,6,2025-08-17,2025-08-17 19:45:00,Pending,In-Store,Bank Transfer,,,,83.86,5.87,0.0,2,0.0,89.73
3751,395,4,2025-08-08,2025-08-08 12:00:00,Completed,In-Store,Cash,2025-08-08,,,23.03,1.61,0.0,2,0.0,24.64
3752,99,6,2024-11-20,2024-11-20 19:05:00,Completed,In-Store,Debit Card,2024-11-20,SUMMER15,,40.46,2.83,0.0,3,0.81,42.48
3753,885,10,2025-07-23,2025-07-23 18:50:00,Completed,In-Store,Credit Card,2025-07-23,,,37.29,2.61,0.0,2,0.0,39.9
3754,842,7,2024-03-15,2024-03-15 20:05:00,Completed,Online,Debit Card,2024-03-16,NEW10,Gift wrap,60.79,4.26,3.64,4,1.22,67.47
3755,865,5,2024-02-08,2024-02-08 20:35:00,Completed,Online,Cash,2024-02-11,VIP20,,72.32,5.06,1.86,3,1.45,77.79
3756,1043,9,2025-07-23,2025-07-23 11:20:00,Returned,Online,Cash,,,,83.4,5.84,4.43,1,0.0,93.67
3757,305,1,2024-06-17,2024-06-17 15:45:00,Completed,Online,Cash,2024-06-23,SUMMER15,Fragile,25.24,1.77,3.61,2,0.0,30.62
3758,1015,2,2025-04-10,2025-04-10 20:25:00,Cancelled,Online,E-Wallet,,NEW10,,38.47,2.69,2.4,2,0.0,43.56
3759,708,1,2024-04-25,2024-04-25 14:45:00,Completed,In-Store,Bank Transfer,2024-04-25,,Fragile,110.86,7.76,0.0,2,0.0,118.62
3760,815,5,2025-01-12,2025-01-12 14:05:00,Completed,Online,Debit Card,2025-01-17,NEW10,,49.11,3.44,3.68,3,0.98,55.25
3761,48,8,2025-02-02,2025-02-02 18:15:00,Pending,In-Store,Bank Transfer,,VIP20,Fragile,9.21,0.64,0.0,1,0.0,9.85
3762,847,2,2025-02-11,2025-02-11 14:10:00,Pending,In-Store,Bank Transfer,,SUMMER15,Gift wrap,24.7,1.73,0.0,2,0.0,26.43
3763,1115,7,2025-01-24,2025-01-24 16:25:00,Completed,In-Store,Cash,2025-01-24,,,143.98,10.08,0.0,5,0.0,154.06
3764,640,1,2025-03-08,2025-03-08 13:15:00,Completed,Online,Cash,2025-03-10,,Fragile,36.6,2.56,3.53,3,0.0,42.69
3765,1157,9,2024-03-17,2024-03-17 17:25:00,Pending,Online,Debit Card,,VIP20,,12.43,0.87,3.18,1,0.0,16.48
3766,402,3,2025-02-21,2025-02-21 15:30:00,Completed,In-Store,E-Wallet,2025-02-21,,,13.46,0.94,0.0,1,0.0,14.4
3767,335,3,2025-04-06,2025-04-06 20:30:00,Completed,Online,Credit Card,2025-04-08,VIP20,Gift wrap,13.66,0.96,2.18,1,0.0,16.8
3768,252,9,2024-06-09,2024-06-09 13:20:00,Completed,In-Store,Cash,2024-06-09,SUMMER15,Fragile,64.71,4.53,0.0,4,1.29,67.95
3769,68,3,2024-01-30,2024-01-30 19:55:00,Pending,In-Store,Debit Card,,BUNDLE5,,11.19,0.78,0.0,1,0.0,11.97
3770,1019,2,2024-08-06,2024-08-06 11:35:00,Completed,Online,Debit Card,2024-08-10,SUMMER15,,68.71,4.81,4.41,1,0.0,77.93
